sentence,label
"Buffett's Berkshire builds Deere stake, dumps Exxon",negative
"European shares plunge, roiled by BHP and oil; hopes turn to ECB",negative
AB InBev ups offer for SABMiller as deadline looms,positive
$RNN More bleeding Monday.,negative
$BONE Earnings Stocks Poised to Pop http://stks.co/2zWE,positive
$TSLA stock gaining steam... Plus other notable moves from this week: https://t.co/Hz0wdp5za1,positive
$PAY 2nd time test of the 21.20-30 b/o zone.  Still not breaking out.  Moved my stop up to 20.80.,neutral
$AMCN pushing highs,positive
$GOOGL is setting up above its 50-day moving average. https://t.co/tTm9RnFoXJ,positive
NaturalGas Settles At 3-year Low $DBO $BNO  http://stks.co/d27qX,negative
Royal Mail chairman Donald Brydon set to step down,negative
"$SDS +1.46% 15.32, picking up some speed. May 16 calls now +35% .19: http://stks.co/3eiK, Next week $16 calls .11c: http://stks.co/3eiL",positive
Chime Communications Set To Be Acquired By WPP And Providence,positive
"@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB",positive
AstraZeneca to Buy ZS Pharma for $2.7 Billion,positive
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/xDGrAExkKz",negative
$FB turns back down in early trading.... https://t.co/reuf5PzhBm,negative
$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,negative
$AAPL Action into the close indicates that $AAPL probably hit a near term high.  Momentum slowing after a huge run.,positive
Juniper tumbles on Q1 warning; Cisco also lower $JNPR $CSCO https://t.co/bGvIntk43h,negative
volatility squeeze in $AAPL. I hope it gets resolved to the upside,neutral
$IBIO  up 10% in premarket ready for lift off,positive
$RAD All my charts are flashing oversold.,neutral
$ARIA This is the reason why shorts don't show up...long steady small climbs. The best way to accrue value. IMO,positive
Anheuser-Busch InBev Increases Offer for Rival SABMiller,positive
$MA http://stks.co/1CYN continues to consolidate / base here,positive
Retailers Kingfisher and Sports Direct rise in Britain's share index,positive
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,positive
Short interest increases yet again http://stks.co/e19h via @ryandetrick $SPY,negative
Primark racks up a happy Christmas after strong sales,positive
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,positive
LSE-Deutsche BÃƒÂ¶rse dealmakers wrong to ignore Brexit risk,negative
SABMiller revenue hit by weaker EM currencies,negative
AB InBev to Sell SABMiller Stake in China's Snow Beer,neutral
Look at that $AMZN > 600,positive
$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive
pretty steady accumulation off support today.  Purdy. $AGU,positive
"78 users on Vetr are bearish on Tesla Motors, Inc., indicating a SELL Rating (2 stars) for $TSLA https://t.co/vVpzqCXsNJ",negative
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative
"$RNN day traders flushed out, it should start going up slowly from now on .",positive
Tesco sales recover as focus returns to core business,positive
"$AAPL 50DMA turned up, MACD crossover a half-a-hair away on the weekly. EOD break out likely.",positive
$CAT is hangin on my a thread. 1click away from a cliff drop.. Needs follow through (or snap-back on the VIX),negative
$AAPL rejected the hod...should head lower. Sitting on the sidelines for now.,negative
$BXS: BancorpSouth Announces Extension of Merger Agreements with ... http://stks.co/s2PDF,positive
$RNN staying above the open a very good sign!!!,positive
$SPY c'mon bulls buy DIPS!,positive
"$ESI on lows, down $1.50 to $2.50 BK a real possibility",negative
$GTAT Will re-enter short on bounce...,negative
"RT FITZSTOCK2004: $IYT http://stks.co/1NBF the Transports always lead  the way, and  they broke DT  line  1st, MACD cross,  bull  flag=",positive
"$WFM Bought a little yesterday, hoping for an earnings pop.",positive
$PG Ackman making the big added efficiency argument. betting on operational imporvement in a huge conglomerate can go either way imo.,positive
Aviva Fined $27 Million by U.K. Regulator Over Fee Failings,negative
$SMH got a sell signal on 6/4 and needs to take out 39.28 to go higher otherwise headed lower than 37.60 gap below at 35.38,negative
$DARA breaking out,positive
Why Alphabet Inc was just upgraded to buy https://t.co/dEVnLKhqtZ $GOOGL,positive
"Aberdeen AM posts H1 outflows, says conditions to remain challenging",negative
"PNC, Goldman Sachs Receive Dividend Hike Green Light (But Don't Act): http://stks.co/2pa7 $PNC $GS",positive
"Micron Technology Inc #NASDAQ: $MU down 2.3% today and down 8.9% since being put on ""The Short"" https://t.co/EQQLTfUiOU",negative
MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,positive
"Ingenious, HSBC, UBS and Coutts sued by 'tax avoidance' clients",negative
AstraZeneca suffers setback after drug fails to treat eye cancer,negative
$ENB.CA {Head&Shoulders} bullish reversal setup and breakout. Oil and Gas Pipleline stock. $USO,positive
Whitbread buys 49% stake in Pure food chain,positive
$ENDP being sued by FTC.....nobody will buy them with that hanging over their heads,negative
Shell challenges Exxon dominance with 47 billion-pound bid for BG,negative
"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",neutral
$INVE : SEE YA ABOVE $8,positive
$TSLA gyrating @ S1 above gap. keeping an eye on S2 http://stks.co/jQfB,positive
BBCN Bancorp to buy Wilshire Bancorp in $1 bln deal,positive
$SKH http://stks.co/163e Long setup. Watch for continuation and volume expansion here. Hot sector.,positive
"FTSE rallies off three-month low, boosted by StanChart, Sainsbury",positive
$SPY weak close,negative
$AAPL short some 592.49,negative
$AAPL Goldman Sachs reiterates conviction buy on Apple with a $155 PT $SPY $DJIA $GS https://t.co/h5hmXSITwM,positive
$spy bumping its head on declining daily 8ma as overhead resistance. Then the big brother 50ma just above that.,negative
@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,positive
"$KO had missed earnings expectations for the last two quarters, so todayâ€™s strong results came as a major surprise http://stks.co/d0RHF",positive
$spy $vxx $aapl the parties over loaded on $uvxy volatility is back,negative
$CIEN http://stks.co/dZU CIEN seems to have broken out of a major horizontal resistance. Targets $14.35.,positive
$LSCC Accumulation chart continues to make new highs showing accumulation continuing to take place http://stks.co/aDpO,positive
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),positive
"$AMZN rejected that 604 to the penny. Weak open and it goes r/g within first 30 mins, could have 8-10 points in it. https://t.co/58tEAEXxpE",negative
"Rio Tinto swings to loss, drops dividend policy",negative
Severn Trent share price jumps as Canadian investor renews pursuit of utility,positive
Standard Chartered Not Raising Capital Yet As Dividend Cut,negative
$NVDA sideways,neutral
$SKX turning. Coming from far could go far. Stock price implies you pay nothing for the business,positive
Bought some more $CELG as it is ready for a bounce.,positive
G4S slides on balance sheet worries,negative
$ARIA Bounce Player! Long above $6.17 http://stks.co/q0WfF,positive
"$WAC trade continuing very nicely from yesterday, almost up $3 from yesterday entry, deal pricing tonight looking very strong here... $SPY",positive
$UTSI http://stks.co/15uR Long setup. Reported very good earnings.,positive
$NEON oversold,positive
RT @jan $ARNA Don't think buyout rumor strong enough too be driving this up just yet...when it is this may fly like aapl...// fly how high?,neutral
"#Apple breaks major support, here are some levels to watch - http://stks.co/jRmW $AAPL $QQQ",negative
"FTSE falls to 3-month low on Greek debt concerns, easyJet skids",negative
$TSLA upgraded to Buy @ Argus w/ $333 PT - you'd almost think after ~100pt run in 5 weeks this would be the sell signal,positive
$FB churning in high volume @ IPO price. Lot's of sellers trying to get out. Might take a while here to consolidate before moving higher.,negative
CORRECTED-Shire to buy Dyax for about $5.9 bln,positive
Intertek Group announces strategic update outlining its plan,neutral
Standard Chartered lags on capital worries,negative
$MXWL Oh snap. Just went long again. LT,positive
$SONC Amazing run since middle of March - obvious that the quality/tastiness of their burgers is not being factored into this price advance,positive
Commodity Channel Index Indicator signaled a Oversold for $FB #stockmarket https://t.co/VM32d3M9xi https://t.co/cvkojk05Xn,positive
Borealis Infrastructure putting together new Severn Trent bid,positive
$IWM same conditions that sent markets to tumble all hitting this week,negative
Builder Persimmon hails 6% rise in house sales,positive
Today I bought more $MU $YHOO $VALE $NBL $TWTR $AXP $ZNGA https://t.co/Vt6T5Zp2is,positive
Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,positive
$AAPL http://stks.co/1LDx Clearing this descending trend line / buy area now,positive
CompaniesActelion shares hit record on Shire takeover talk,positive
$YELP This goes green and so many shorts are toast!,positive
"$FAST $GWW - daily sales slowing again, pretty timely coincident indicator https://t.co/m6BKHBkzK5",negative
$AMD big dumping... would not touch it for a while,negative
Starbucks shares down as much as ~4.2% $SBUX https://t.co/JlgrprR54k,negative
$AMZN Trailing 12 months operating cash flow rose 48% to $4.98 billion & free cash flow decreased 63% to $388 million http://stks.co/c06zG,neutral
"Buffett's Berkshire builds Deere stake, dumps Exxon",positive
$AAPL Nice RSI 33 bounce at 9:58,positive
GlaxoSmithKline set to complete $20 billion Novartis asset swap next week,positive
"RT @StockTwits RT @fallondpicks Breadth Consolidates: After weeks of steady gains,advances in mkt breadth slowe... http://stks.co/2TrG $QQQ",negative
$IWM buy programs popping $iwm for close print cheap money means higher stock prices $spy robot buying,positive
$DCTH Near HOD,positive
TalkTalk hires BAE Systems to investigate cyber attack,negative
Stakes High for AstraZeneca Heart Drug Facing Tough Competition,negative
"$CHKP ABC Bullish Pattern, Targets https://t.co/uVMmRSR5Zy",positive
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative
Should You Follow Berkshire Hathaway Into Apple Stock?,neutral
Key level to watch in $FB for today is 25.53-- watching to see if it can hold as support http://stks.co/bOH4,neutral
France raises concerns over proposed LSE-Deutsche Boerse deal,negative
"Tesla Recalling 2,700 Model X Units, Related to Faulty Latch for Third-Row Seats; Fall To $252.50 Level on Recall, Shares Up 1%  $TSLA",negative
EU regulator backs approval for GSK injectable asthma drug,positive
$STX move off the bottom but still in bear market #datasecurity $EMC $SNDK $WDC https://t.co/VkYdWPxeSN,negative
Royal Mail share price rallies amid positive broker comments,positive
$CRUS Upgraded to a buy by Alpha Street Research,positive
"Google, Inc. completes acquisition of ICOA, Inc. http://stks.co/nFEI $ICOA $GOOG",positive
Imperial Tobacco Adds Quarterly Dividends After Profit Rose,positive
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",positive
Watch these bancos.they're holding up relatively well compared to the broad market $XLF $BAC $GS $C <--large C buying in $BAC in backburner,positive
expecting  $SPY to close above 205.20 $AAPL,positive
$TRIP maintains Neutral rating at JP Morgan- PT cut $61 from $66,neutral
$YELP wayyy overvalued right now IMO. Should be trading single digits. May take a short pos. into earnings. Near term target 18 ......,negative
Entering long Lockheed Martin $LMT at Thursday's open. http://stks.co/eXtA,positive
$SBUX downgraded to neutral at Deutsche Bank. Price target reduced to $64 from $70.,negative
$mako hanging in well today. still in a basing pattern. have eyes on it,positive
Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,negative
$FB they are hitting  everything in sight.short it. but twtr,negative
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive
"Key price to watch in $NFLX, off the previous double top reject, 218.23 http://stks.co/sIYn",negative
SAB's Chairman Digs In With Board Divided on InBev Offer,neutral
"RECAP: $MSFT rumor this morning had them spinning off XBOX unit, stock grinds up all day to close on highs",positive
"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",positive
"$INO Up, up, and away!",positive
$CTRP  breaking out here on good vol and a parser buy signal  ..noticed this on bob langs comments looking for 48 fast,positive
i-Grid shows $DIA capped for the long term at range of 123.40- 124.77;any rally beyond today's levels or into this range leads to meltdown.,negative
FTSE edges up as investors cheer Kingfisher results,positive
ESPN Files Lawsuit Against Verizon - http://stks.co/i2Cj1 $VZ,negative
"DJI overbought: $AAPL, $AXP, $BA, $CVX, $IBM, $INTC, $VZ https://t.co/wMy1PnomJF",negative
"Facebook, near a buy point last week, faces a different technical test today https://t.co/c72LLMpiNM $FB $AAPL $NFLX https://t.co/fPFbYTYPuY",positive
Rival companies $GWR and WATCO eyeing $RA w take-over interest.  http://stks.co/o0xY,positive
Berkshire Hathaway names Kara Raiguel to lead General Re unit,neutral
"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",positive
LSE-Deutsche BÃƒÂ¶rse dealmakers wrong to ignore Brexit risk,negative
Shire share price under pressure after $32bn Baxalta deal,negative
$tsla X recall not a big deal... the problem is now they will have an excuse to guide way way lower...,neutral
$NFLX Easy pop to 500$ by end of feb.. Then steady as she goes for 600 into second earnings report..800$ year end no matter what,positive
"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",positive
Shell challenges Exxon dominance with 47 billion-pound bid for BG,neutral
"$AAPL Stock Climbs as Barron's Sees 40% Upside, Jim Cramer's Take  https://t.co/lKlD9mVKBQ",positive
$GDX $GDXJ $JNUG - strong move today for the Junior Gold Miners - keep an EYE out for a gap fill -,positive
"BHP Billiton slashes dividend, posts $5.67 billion net loss",negative
I see a 20 percent upside in $FB shares from here,positive
$BBRY bye bye Sammy. Hello BB. Sounds like we'll see some green tomorrow.,positive
"SiriusXM added 465,000 net new subscribers in the first quarter of 2016 $SIRI #CEO #sales #marketresearch #tech #entrepreneur #Speaker",positive
MillerCoors Board Names Gavin Hattersley Interim CEO,neutral
Morrisons and Debenhams surprise City with Christmas bounce back,positive
"News FeedFTSE 100 movers: Ashtead jumps on strong interims; Glencore, BP in ...",positive
My $DWA play up 6% today. I'm still skeptical. Will take profits. Not a time cheer,neutral
$FB I've been dead on so far. Such a bloated valuation. https://t.co/czCf8Kbrlt,negative
$TROW Ascending triangle gives a bullish bias to this chart. Breakout above 84 will be positive http://stks.co/g0ls5,positive
CompaniesMeggitt profits hit by weak energy and military markets,negative
Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,positive
$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,positive
$EXPE working on the second leg of its reversal run as it breaks another down trend and continues higher. https://t.co/76DSJysyR0,positive
looks like a big feb 18-22 $put spread on $cree.  Last quarter 0% YoY rev growth trading @ 24x earnings.  I may try a short.,negative
$FB i guess they want it down look at the those sell orders,negative
$UUP at major resistance right now. Can go much higher if it can break above. May take several attempts - few days to a week,positive
Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,negative
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive
3-star analyst Joe Wittine from Longbow Research reiterated a HOLD rating on $NTAP.,positive
Long $PCLN,positive
CompaniesAB InBev signals it won't go hostile for SABMiller,positive
@REC_Zakaria Monday Bulls Are Out! Stock Ticker- Michael James Ent. Other picks $SBUX $GVP $NKE,positive
$UVXY Put the chum out there at key support then next level down - careful,negative
Copper market may get a 2003-style supply shock from Glencore closures,negative
Intertek swings to Ã‚Â£347 mln loss on oil's slump,negative
$ISR- @IsoRay Up 6% and high on volume http://stks.co/iFpo #biotech,positive
Rolls-Royce to Ensure Compliance After Petrobras Bribery Report,neutral
$SPY Tomorrow party time for the Bears!! $GOOG and $MSFT -5.5%,negative
Do it for me' trend underpins UK sales growth at Kingfisher,positive
"$ENDP - we saw a large order in this one last week, someone also accumulating May & Jun 35's Calls today",positive
VIVUS $VVUS bear raid in effect. Stock down 12%,negative
"Standard Chartered, RBS Escape Capital Raising in Stress Test",positive
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative
"$KNDI Break that HOD on volume, and we have a nice consolidation completed for another run.",positive
$AMRN Got sell signal 7/1/14 still in force with target below 1.50,negative
"Broker tips: RBS, Croda, Sage",positive
$YHOO About to break out on the 5-min...,positive
Thank you $GOOG (Google Alphabet) and $FB (Facebook) stocks! What a nice reversal.,positive
$TSLA is now up 57% from its February low. Amazing rebound.,positive
"On #FEDDAY looking for a sharp move up in equities $AAPL $HD $LOW $FB seeing $UVXY $TVIX getting hammered, even though market is down.",positive
$AXP Looking for continuation with volume increase http://stks.co/c8sR,positive
Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,negative
$NFLX +1% $104.80 LONG streaming services rapidly outpacing traditional cable,positive
"$CELG back near 104, where it opened and rallied higher last wk. A good place to take a shot https://t.co/zwHThSvFSF",positive
"Centrica extends gas deals with Gazprom, Statoil",positive
CompaniesTesco off to a bad start over Xmas Ã¢â‚¬â€œ Kantar,negative
$AAPL $131 rally mode,positive
Held its recent double bottom buy point of 56.57 almost to the penny today $WMT http://chart.ly/6nosp5q,positive
Rio Tinto CEO says iron ore market at equilibrium,neutral
ALERT: New RSI signal created on $COST - Buy at 148.78 - Time: 14:19 - Strength: 10. Powered by https://t.co/MhOBzU3Rmx,positive
Britain's FTSE forges ahead as Shire surges,positive
$VRTX early technical BUY signal... for confirmation > 86 it needs some fundam. incentive https://t.co/QuYSrqFo2x,positive
what #stocks large players are selling http://stks.co/t0Vel $CROX $GOGO $INO,negative
GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,negative
"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",positive
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",neutral
Double bottom with handle buy point of 29.51 $IP http://chart.ly/akvujxh,positive
Is It Worth Investing In Tesco PLC And Prudential plc Now?,positive
$CTRP breaking out https://t.co/Z2je3rTKch,positive
"Notable gainers among liquid option names this morning include $STX (+7.0%), $NEM (+4.6%), $WDC (+4.2%), $X (+4.1%), and $GME (+3.4%),",positive
$GOOGL gets an upgrade price target $970,positive
"Reuters: Green Mountain revenue misses, shares plunge http://stks.co/13mW > $GMCR prints 43.80, market in a foul mood, bad day to disappoint",negative
$WX Decent pull back . .,negative
AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,positive
$ROST Ross Stores Upgraded to Outperform at RBC Capital Markets http://stks.co/j0Q9t,positive
"potential defect with third-row seat belts. Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/YVYDncdNdi",negative
GlaxoSmithKline starts hunt for successor to CEO Witty,neutral
$FB & $TSLA cracking lower early. $short #correction #stocks,negative
"$ADBE technical alerts: Expansion Breakout, Gilligan's Island Sell Setup, Volume Surge, and New 52... https://t.co/LxX66tknFH",positive
Is #Facebook's user engagement falling? https://t.co/tqMMt7N16X $FB https://t.co/sedqRWgdkt,negative
"$KNDI #China #ElectricCar maker. China car sales +7.8%. Also, may feed off $TSLA momentum run lately.",positive
$INO back in this am small post,positive
"RT @stockdemons think shorting here into close might be play, $SPY - high beta reversing..looks worth a shot",negative
Standard Chartered's Shares Plunge 7% After Fitch Downgrade,negative
"$AAPL AAPL: Gundlach Slams iPad mini, Sees Downside to $425. http://stks.co/bDqV",negative
