sentence,label
$isrg trading at all-time high after strong earnings report with 4 days of short interest.,positive
"$GMCR with the way this has been acting, it may fall to 65 today, horrible action since it hit 70 yesterday",negative
$AEGN MACD and ADX are crossing over the signal lines! Long Setup http://stks.co/qzzx,positive
"$AAPL at pivot area on intraday chart- break here could send this to 50-day SMA, 457.80 http://stks.co/jPbN",positive
"took some $ENDP long this am, using VWAP as guide",positive
"$TSLA steaming up again, this stock is relentless at the moment",positive
BHP Billiton share price: Brazil to sue Samarco for Ã‚Â£3.5bn,negative
FTSE 100 flat; Standard Chartered leads risers,positive
$DXCM - Making higher highs & higher lows as it consolidates over past several weeks. 26.70 was all time high (2006).,positive
$PYPL great vol flow trade here.. Love this company long time.,positive
Brewer AB InBev seeks $275 bln tie-up with SABMiller,positive
RT @robbieLOLZ $NFLX A close above here is looking good for the bulls. Will hold my positions to see where we close at. Keep buying here.,positive
Juniper tumbles on Q1 warning; Cisco also lower https://t.co/N8X8BpLJ1E $JNPR $CSCO,negative
ARM Holdings plc Partners With International Business Machines Corp. To Drive ...,positive
Insurers: Admiral blows hot and cold but Aviva soars pre-Friends Life merger,neutral
Netflix Grows Efforts To Create Loyal Customers $NFLX https://t.co/5QXBkoBphe,positive
Shares in BAE Systems hit 10-month high on rating upgrade,positive
#Apple up almost 20% from its February lows with very little fanfare. $AAPL,positive
"AstraZeneca bags another cancer drug deal, this time with Inovio",positive
"ACE Limited, which has a 17 year dividend growth streak, plans a 33% dividend hike: http://stks.co/1BUE $ACE",positive
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive
long $AAPL,positive
"$RIG whos ever pushing this is crazy, get ready for suspended dividend (turning into growth stock) blow out earnings, and major buyback, lol",neutral
GSK and Novartis complete deals to reshape both drugmakers,positive
"Tesco, Asda sales fall as march of the discounters continues-Kantar",negative
$SAVE long. https://t.co/yEJuS9cMlC,positive
5 Best Analyst Rated Stocks in Last 72hrs: $ORCL $AAPL $CBS $INO $CPXX View all ratings here: https://t.co/IRID6zd5gc,positive
$aapl.  Test the high today and probably go beyond after hours...,positive
"Tesla Motors recalls 2,700 Model X SUVs $TSLA https://t.co/F55dx4aegI",negative
"@sharkbiotech If anyone is selling/shorting $AGN b/c you believe $ENDP rumors to be realistic, then I'll take the other side of that trade",positive
AstraZeneca profit down as sales of stalwarts fade,negative
$DMND green and moving,positive
"$TSLA looking good..i'd love to see a basing action here, letting the RSI take a breather. http://stks.co/g1T7c",positive
TripAdvisor jumps on M&A rumors https://t.co/O4lwCDXMbr $TRIP,positive
Unilever profit rises despite sales slump in China,positive
Sold some $TSLA Puts this morning Closed them at the close. Helps pay for monthly expenses,neutral
"Lots of metal stocks look like a 5-10% run awaits. Long $SSRI,$PAAS and $NEM but most high quality names should go if metal prices cooperate",positive
"$HPQ Says Breakup Will Cost Billions, but Sees Savings Too http://stks.co/p27hZ",negative
Shire Sees Baxalta Deal Closing as Expected After New Rules,positive
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,positive
Covered my small $MWW short @ 7.99 for a .16 loss. Flat on the day. All cash now.,positive
"$KNDI Let's see some higher highs and higher lows rest of the day , slow and steady",positive
$TSLA not dipping - testing the 200 day ma https://t.co/jEPLmZQKGW,positive
Valeant Said to Name New CEO With Pearson Still Hospitalized,neutral
"AP: Caterpillar posts 60 percent jump in 4Q profit on steep global sales increase, tops Wall St. view > $CAT",positive
@asdfLLC. Nice pop today. Told ya we would be green haha. Funny you bring that up. I'm actually working on a story about $NOK at the moment,positive
"Aviva, M&G suspend property funds as investors panic",negative
L&G completes UK's largest medically underwritten bulk pension risk deal,positive
BAE Systems's sales boosted by European Typhoon and currencies,positive
Kingfisher takeover of Mr Bricolage could hit a brick wall,negative
Phew! So far good $BBRY did not break 10.40 coz I was told that is key support level.,positive
$HCP Come to the party and buy this -gonna give solid gains and a dividend $$$$$$,positive
Tesco's Sales Pickup Isn't Enough,negative
U.S. Debt Lures Schroders as ECB Depresses Rates,neutral
@Dojiknows th SP and the potential of QNX BES10 and BBM  cross platform will bring good news in time $bbry,positive
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,positive
Johnson Matthey revs up on clean air drive,positive
$ELN longs...congrats...another HOD,positive
"$TSLA lots of green on the 5 min, watch the hourly $259.33 possible resistance currently @ $257.00",positive
Barclays poised to replace Sir Mike Rake as he heads for exit,neutral
$AAPL Now I'm glad I got stopped out of my $113 weeklies when I did. Will re-enter next Monday for the #earnings run-up.,neutral
This $BBBY stock options trade would have more than doubled your money https://t.co/Oa0loiRIJL via @TheStreet,positive
$ISRG PT raised to $700 from $640 at Leerink - keeps Outperform rated,positive
"maybe closing all those $AAPL calls i had this morning was a bad idea, money left on the table...",positive
Sainsbury's says to outperform rivals in tough market,positive
$NFLX and $TSLA making all kinds of gains ðŸ“ˆ,positive
$aapl high of day just hit. Back at it tomorrow.,positive
Insurer Old Mutual picks Standard Bank's Hemphill as new CEO,neutral
LSE gets Hong Kong regulatory nod to HK firms to become LSE members,positive
"$TSLA Recalls 2,700 Model X Vehicles; Shares Volatile https://t.co/tcKqZnMIqX #TSLA #tech #stockmarket https://t.co/FeMhJtAmQj",negative
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",negative
BP joins forces with Det Norske in Norway,positive
$NIHD insiders got this one wrong. Looking for bottom. Rsi under 30,negative
$CDTI bounce here on support or H&S setup this area is very important for bulls to not lose http://stks.co/c0mf3,positive
$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol,negative
"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources",positive
Morrisons faces festive sales test,negative
Shire says internal synergy goals from Baxalta deal higher,positive
$VMW  Got a nice push today following small sweepers of May C this morning,positive
Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,positive
$FB SHIFTING ON THE 15 MINUTE HERE - SUSPECT TO TAKE HIGHS,positive
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",neutral
"After Barclays and Bank of America, Citigroup has blockchain in sight",positive
X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,negative
AstraZeneca to Pay Inovio Up to $700 Million for Cancer Drug,positive
Can Christmas Save Sainsbury's plc And Tesco plc?,negative
Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,positive
Shell to buy BG Group in $69.7 billion takeover,positive
$AMZN new HOD with conviction keeping $570 on watch for Resistance.,positive
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,positive
$FB watching for bounce tomorrow,positive
Tata Steel working with StanChart for UK unit sale - source,positive
Meggitt share price tumbles as profit falls in 'challenging year',negative
"UPDATE: CIB, Legal & General Sell Egyptian Life Joint Venture To AXA",positive
I'm no professional ANAL-yst but I DO put my $ where my mouth is. $AAPL will do $575 b4 yr.endÃ¢â‚¬â€That's another hun from here.Long LEAPS =^.^=,positive
Shire to buy NPS for $5.2 billion to boost rare disease drugs,positive
Long $X 24.62,positive
Deutsche Bank Downgraded Starbucks Co. $SBUX https://t.co/QqlEvVwPMV https://t.co/f2PdQjuTHa,negative
British American Tobacco drops and sues PwC over pollution scandal,negative
Tesco shareholders back ITV head for chairman,positive
$EBAY had a nice breakout of the recent consolidation. Congrats to those who had it. http://stks.co/2TAd,positive
"RT @Dasan @TMTanalyst ...since $AAPL mastered their supply chain // in cornering NAND, Apple mastered EVERYONE'S supply chain!",positive
Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale,positive
Added more $BBBY @jimcramer is wrong about this one. Still a very profitable merchant with profitable stores,positive
Microsoft joins the open-source Eclipse Foundation https://t.co/z8G5cZaKeU focus on collaboration & open business is a smart strategy! $MSFT,positive
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,positive
London Stock Exchange Shareholders Approve Merger With Deutsche BÃƒÂ¶rse,positive
"$AXDX I got bored, and took my proprietary profit exit. I didn't like the option liquidity and lousy spreads.",negative
How Kraft-Heinz Merger Came Together in Speedy 10 Weeks,positive
$BBRY hearing rumours of a major joint venture announcement.,positive
AstraZeneca shares climb 3% as drug maker ups profits forecasts,positive
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",positive
Tullow Oil Suspends Dividend Amid Oil Price Fall,negative
Buffett's Company Reports 37 Percent Drop in 2Q Earnings,negative
$NUGT longer term bullish,positive
$MFLX up  pre mkt. Looks like GAP has been filled....lookin 4 short opt here,negative
easyJet leads Britain's FTSE lower as global bond rout resumes,negative
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,negative
I don't see it. 200 day sma is the big hurdle. There is a good base building. $NFLX  https://t.co/ImKYGO2cyc,positive
Slump in Weir leads FTSE down from record high,negative
G4S sees profits rise but UK contract problems remain,positive
$BAC $ADSK $NFLX long this morning,positive
$BBRY both 1m/6m trends turn bullish today with a resistance level at $11.31. http://stks.co/j1qt6,positive
Tesco shares jump 6% after Christmas sales beat expectations,positive
Surprising to see $JWN and $SKS sales numbers still holding up so well. I guess the high end might not be a concern after all.,positive
$AAPL long 630.91,positive
"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",positive
Credit Suisse poaches Prudential's Thiam for Asian push,positive
Compass Group says positive for year ahead,positive
"Sheryl Sandberg Sells 109,000 Shares of Facebook Inc $FB Stock https://t.co/3vXT7AMnpk via @RatingsNetwork",negative
"$AAPL is now beaten down, hated, etc. / hhhmm opposite of 700> what happens next?",negative
"$ENDP exit reversal .11 X 3K shares = $330 - now Long - not getting follow through, either side of price action",positive
"$STX long play, another consistent profit zone.. check it out https://t.co/DQfuzOzYlh https://t.co/ggne4ayzqn",positive
"$AAPL AAPL finally breaking under the 49 M.A.. With no buybacks this week, look for AAPL to test the 120 support area.",negative
$PRGN A bottom right here?,neutral
"Maglan Capital Up +20.84% In February, Long Fairpoint  http://stks.co/s1eQc $$ $FRP",positive
Glencore blames rivals for creating metals glut,negative
stole my tweet. really wouldn't be surprised if we took out 423 and pinned around it RT @totalguru We could possibly even see425 today $AAPL,positive
"$FB trend, hits mid 110's and drops",negative
$SPY Could the pride of social media be gettin ready to fall?  $FB - chart rolling over?,negative
@mugatushair Now it is time to short $TSLA,negative
$JNK http://stks.co/2Fcm Does not want to go down... risk appetite still high,positive
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive
Short on $ATVI from 24.55.,negative
$WMT BULLISH with MACD CROSSOVER with RSI and STO going up - above 73.4$ MA50 res. could run http://stks.co/gGCq,positive
"Homebuilders - $RYL breaking below support, watch this one.  $SPY",negative
AstraZeneca Teams With Daiichi Sankyo To Sell Movantik In US,positive
$RIMM $spx $nya $compq $djia all going down,negative
$YHOO making new HOD,positive
$AMGN And #UCB Announce Positive Top-Line Results From Ph3 Study Evaluating Romosozumab In Men... https://t.co/4hBoUDR8B8 via @YahooFinance,positive
Apple Inc.: The Rip-Roaring Rally Is Just Beginning! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9,positive
Costco: A Premier Retail Dividend Play https://t.co/J3UhTs022M $COST,positive
Why AstraZeneca plc & Dixons Carphone PLC Are Red-Hot Growth Stars!,positive
@catskillfishing  Note the monthly chart of $GDX & how it recaptured support. $GLD possible double bottom set up. http://stks.co/aw6z,positive
HSBC Hit by Fresh Details of Tax Evasion Claims,negative
"$DPZ broke out now of his bull flag channel and make new highs, but volume is very poor",positive
$HITK  Resuming advance into new historical highs.,positive
UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,positive
RT @tomhend777 $MU needs to hold here -Broken for now. Needs big flush. Still not technically oversold so now big bounce yet,neutral
CompaniesCar insurer Hastings Group driving Ã‚Â£180m IPO,positive
Deutsche Bank cuts $SBUX,negative
AstraZeneca's patent on asthma drug invalidated by US court,negative
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",negative
$MTD (Mettler-Toledo) ready for a breakout,positive
2 Turnaround Buys For 2016? BHP Billiton plc And Home Retail Group Plc,positive
TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan,positive
"$HSC Receives 7-Year, $50M Contract at New Saudi Arabian Steel Mill",positive
CRH's concrete bid for Holcim Lafarge assets,positive
$CRK time to accumulate for a long position with far more upside than downside,positive
Berkshire seeks to boost its Wells Fargo stake above 10 percent,positive
S&P downgrades Barclays and RBS on government bailout fears,negative
"Broker tips: RBS, Croda, Sage",positive
Merkel's Government Said to Support Deutsche Boerse-LSE Merger,positive
"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",negative
InterContinental Hotels Denies Reports of Starwood Merger Talks,neutral
"$GLD http://stks.co/jr8 Daily chart - though RSI and Stoch. point at a possible move up, there's a lot of resistance.",positive
Tesco share price down as grocer faces SFO investigation outcome,negative
CompaniesKingfisher bid for Mr Bricolage runs into trouble,negative
$AAPL weekly still under the 50 moving average and creating a lower high. https://t.co/vT7ppzY2UY,negative
UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,positive
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,positive
Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),positive
#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo,positive
Market Report: Aviva tops the market as traders approve of its choice of Friends,positive
$UGAZ Will this cold put a dent in the massive horizontal rig production. Who knows  http://stks.co/p1V6P,negative
$FB Nice buyable intraday dip right here,positive
$GOOG breakout very likely medium target $700+ http://stks.co/1Lpz http://chart.ly/lgb94rr,positive
"$TSLA 5th wave down on the 1 hour chart, hammer candle developing, close to 200 sma, might be a good spot for calls",positive
Citigroup to Sell OneMain to Springleaf for $4.25 Billion,positive
loading $SPY and $AAPL puts. think were toppy IMHO.,negative
"$SINA even though the ""report"" is untrue and has been proven unture, the damage is done. No one wants to touch it now",negative
like $T for a breakout long as well. getting through the 100 and 200 MA could see it run.,positive
"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",positive
CRH adds CR Laurence to acquisitions tally for $1.3bn,positive
$SBUX getting sold here.,negative
$ISRG - ISRG Short - http://stks.co/f1vVU http://stks.co/c1qrm,negative
Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,positive
UPDATE 1-Meggitt reiterates annual outlook after tough 2014,neutral
"So as of today's close (8/15/14), I'm long $TSLA $AMTD $TWTR $FB $AAPL $CELG - all on a longer-term, technical swing long basis.",positive
"CompaniesTravis Perkins lifts dividend, earnings rise 15%",positive
$AMZN Going thru the roof needs a sell!,positive
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",neutral
@ACInvestorBlog: $SPY eod run :),positive
AstraZeneca share price: Acerta deal pays off with orphan drug status,positive
$TSLA recall model X https://t.co/b7izYa4BuE,negative
"Long Position on $GOL,...Updating http://stks.co/fdmm",positive
Johnson Matthey profit falls but dividend rises,neutral
ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...,positive
"$TSLA on fire, what is that 6 up days in a row. Someone neeeeds!! in",positive
"European stocks hover near 3-week low, Dialog and BHP slump",negative
"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",positive
"$SLW is down, but weekly $34 calls (-28.95%), .23 x .25 have 321 volume. Worth a chance here, jmho: http://stks.co/1Qfg",positive
Equity indexes working on a positive engulfing for March. $SML $RUT $IWC $SMH $SOX  Small-caps / semis with a fakeout before the b/out.,positive
$RSOL bought 3500 shares today!,positive
"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?",positive
Valeant CEO Pledges to Heed Critics After `Painful' Experience,negative
Rolls-Royce Wins $9.2 Billion Order From Emirates Airline,positive
Ocwen Reaches Settlement With California Regulator,positive
The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever,positive
"Ackman, in email, says supports Valeant CEO Pearson",positive
"Goldman Sachs, Barclays, HSBC downplay Brexit threat",negative
"Britain's FTSE falls back with Ashtead, commodities under pressure",negative
Think $FMS will challendge 200-EMA in not distant future.   Look at yesterday's volume,positive
$PPG Descending triangle but I am liking it for an upside break http://stks.co/o9nY,positive
Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,negative
#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,negative
$NFLX I say it's time to short at this point.,negative
Renewed AB InBev Bid for SABMiller Ups Stake in Beer Battle,positive
$HRL ready to pop! http://stks.co/s0Ny4,positive
$SBUX inverted head & shoulders pattern in the works. bullish.,positive
Tesco share price jumps as Q3 sales top estimates,positive
"Last month we added to our $GILD position and started a new one in $BWLD We see slow, steady, unspectacular growth going forward near term",positive
Arm profits and sales up as shift away from mobile gains pace,positive
RT @Street_Insider The Steve Jobs Effect? Apple $AAPL First Day iPhone 4S Sales Were Off the Charts http://stks.co/YYe,positive
UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,positive
$AAPL wants lower. up waves getting smaller on the 2 min,negative
Sainsbury sells unit to LloydsPharmacy,positive
"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?",neutral
Academics claim Google Android two-factor authentication is breakable. #security #authentication #hacking $goog https://t.co/nJx4mnrGLo,negative
Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,positive
REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm,negative
$LEE http://stks.co/24kM LEE ready to exit bankruptcy. Strong volume today.,positive
$SPY wouldn't be surprised to see a green close,positive
"$QCOM chart: Qualcomm Short 61.8% Retracement, Trendline and Resistance. https://t.co/2WQqh35KOY",negative
Breakingviews: IAG can pay more for Aer Lingus,positive
UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,negative
$fb small long 109.25 via calls,positive
$EA points to the two Facebook games and accuses $ZNGA of copyright infringement. http://stks.co/g3A1,negative
Tesco PLC's Recovery Continues With A Ã‚Â£250m Cash Infusion,positive
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,negative
Walter Investment Management Corp Receives a Sell from Compass Point $WAC http://stks.co/c1IvX,negative
Ruling sets lower limit on potential fine for BP,negative
London Stock Exchange seals Ã‚Â£22 billion merger with Germany's Deutsche BÃƒÂ¶rse,positive
CompaniesFresnillo shares jump 8% as silver price breaks $21,positive
"$QCOR a little pullback is fine but if this erases all of todays gains, I cannot believe the manipulation its capable of",negative
